OverallRating,Comments,FeedbackCategory,Subcategory
Very Satisfied,My students enjoy the book selection and i enjoy the ease of ordering and the digital platform.,,
Very Satisfied,will enter order soon - just waiting to see if my mom wants to order anything too,,
Neutral,"I struggled with the bundled options, its not easy to see details about each book.  Picture shows 4 books when there are 5- its a bit confusing.",,
Very Disappointed,I s till do not know how to submit an order with money brought to me by a student that is in cash - I have to pay out of pocket up front for this?,,
Satisfied,"It would be great if teachers/parents could search by price (for example in the search bar enter ""$1"" and all the $1 books came up)",,
Satisfied,The button to SEE ALL in a section doesn't stand out easily,,
Very Satisfied,Easy to use and search for titles.,,
Very Satisfied,"Site is easy to navigate. However, I did not see the bonus catalog section. I will look when I submit order on Wednesday.  Thanks for the $1.00 book section. helps me with birthday books and holiday books.",,
Satisfied,It would be great if you had a way to sort by price or browse for books below a certain price point.,,
Very Satisfied,Reading gonna helps your child to be smarter.,,
Very Satisfied,"My only problem is the shipping fee with paper orders under $25.  I teach at a school with lower income families and very few are able to buy books, and when a couple do, then I'm left to pay the shipping which is not fully fair.",,
Very Satisfied,Na,,
Neutral,Easy and straightforward,,
Neutral,"Order links from the magazine is very quick and easy! I do not know if this is a new feature or not, but it is brilliant.",,
Neutral,cant search for a book,,
Neutral,I love scholastic books!,,
Very Satisfied,I have enjoyed Scholastic book orders since I was a child myself.  I have been ordering for 31 years as a teacher.,,
Satisfied,Would perfer a long list (with pictures) of the books you offer. Categorizing them doesn't always make things easier. I kept seeing the same 15 books. Sure there are more.,,
Satisfied,I need to make my status inactive.  I do not need any flyers right now and need to stop them from being mailed to me at my school.,,
Disappointed,The website is very difficult to navigate to find where to add funds to my childrens account for shopping at their book fair in person.  Links from the email just direct to the log in page and don’t get to where you are trying to go.  It would be nice to have a feature that would provide a link for family members to fund their book shopping account as well.,,
Very Satisfied,Very easy to navigate. :),,
Satisfied,"I wish there was a way to search or sort by price. For example, as a parent (or a teacher) looking to build my library on a tight budget, I'd love to search for all the $5 and under books. Or knowing that Scholastic has dollar deals, all the $2 books.",,
Neutral,I love this site. It's so convenient.,,
Neutral,Just initial navigation is a little confusing,,
Satisfied,The way the free book code needed to be entered was a bit confusing. I ended up ordering two copies of the same book.,,
Very Satisfied,"I am hoping that orders will be delivered in a more timely fashion this year.  Last year, orders would take up to three weeks to process and parents were getting upset.  I am hoping there will be a faster turn around time this year.",,
Neutral,There is always a good selection of books for any reading level.,,
Satisfied,"trying to figure out how many bonus points I have  *thank you for all the great prices, bonuses, shipping :)",,
Neutral,great website. always a deal. love the website.,,
Very Disappointed,It was difficult to find the site.  I was redirected several times to other scholastic sites.  Your book selections are very political.  I just want to get my kid a story book.,,
Very Satisfied,I am hoping that shipping is a lot more timely this year.  I quit ordering last year(after 35 years of book ordering) because of the shipping time.  (I was embarassed in front of my class),,
Neutral,"Three parents told me they placed an order, I dont' see it.",,
Satisfied,"My school is not the right school, even though it's the right teacher.",,
Very Disappointed,The page is stuck on the check out screen  Very frustrating,,
Very Satisfied,THANK YOU!,,
Very Satisfied,Came to check on student order that was shipped- wrong set of books was sent.  I will be contacting customer service again as this is the 2nd time it happened this year.,,
Disappointed,Changing teacher is a nightmare on site.,,
Very Satisfied,Very easy to use.,,
Neutral,Finding my class information (i.e. when a due date is) has been a little difficult to find.,,
Very Satisfied,I have used Scholastic Book Clubs when I taught before and I absolutely loved the deals and freebies!,,
Satisfied,"I had a lot of problems with orders last year and was very frustrated with Scholastic.  I had a shipment get lost, a shipment go to a school I haven't taught at for 8 years, and shipping delays like crazy.",,
Very Satisfied,Just checking on student orders submitted online.  I will submit them on Friday.,,
Very Satisfied,I love scholastic book club. It has been a slow start after the pandemic but I am hoping this year will blossom with readers!    I loved your videos they were so helpful in doing the things I needed to get done!,,
Very Satisfied,"Kindly watch the woke content.  You have a duty to provide wholesome, unbiased literature to our children.  It's a powerful position to be in, please respect it.",,
Disappointed,It is hard to find the electronic wallet to add additional money.,,
Satisfied,I am surprised that my customer number was changed.  It was the same number for years.  Why did it change and did everything from my old account merge or do I have 2 accounts?,,
Neutral,It's really easy to fin books in this website.,,
Satisfied,Could improve selecting free books earned when checking out by adding photos of items,,
Very Satisfied,Adding to wish lists so that when I can get class codes (teachers haven't been updated for this year).,,
Neutral,"I tried on my phone to enter a free book and submit my order,but it did not work so I went on my computer and tried and it worked.",,
Very Disappointed,It said general error.,,
